"Program","College","Age","Gender","FirstGen","Race","TSI_MATH","TSI_WRITING","TSI_READING","MotherEducation","FatherEducation","Homeschooled","HasGED","Highschool","FinAid","EFC"
"Education","Education",26,"Female","Unknown","Hispanic/Latino","340","355","344","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","2085"
"Health Information Management","Health Science",39,"Female","Unknown","Native Hawaiian or Other Pacific Islander","321","NULL","NULL","Unknown","Some College",0,0,"Midland High School","OTHER","3053"
"Fire Science Technology","Health Science",31,"Male","Unknown","Hispanic/Latino","355","81","87","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","9999999"
"Paralegal","Career and Technical",42,"Female","Yes","Hispanic/Latino","910","84","89","Some High School","No High School",0,0,"ANDREWS HIGH SCHOOL","FED PELL GRANT","1100"
"Health Services Management","Health Science",30,"Female","Yes","Black or African American","347","347","348","Some High School","Some High School",0,0,"Unknown International High School","FED PELL GRANT","0"
"Business Management","Business",31,"Male","Unknown","Hispanic/Latino","336","364","353","Some High School","Some College",0,0,"Out of State Ged","FED PELL GRANT","882"
"Substance Abuse Counseling","Health Science",29,"Female","Unknown","Hispanic/Latino","350","366","354","Unknown","Unknown",0,0,"Out Of State Unknown Ceeb Code","FED PELL GRANT","0"
"Fire Science Technology","Health Science",31,"Male","Unknown","White","346","353","361","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","9999999"
"Organizational Management","Business",40,"Female","Unknown","Hispanic/Latino","323","352","361","Unknown","Unknown",0,0,"Unknown International High School","OTHER","0"
"Nursing-Vocational","Health Science",32,"Female","Unknown","Hispanic/Latino","326","240","350","Unknown","Unknown",0,1,"Texas Ged","FED PELL GRANT","0"
"Child Care and Development","Education",28,"Female","Unknown","Hispanic/Latino","32","65","85","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Arts","Language and Fine Arts",22,"Male","Unknown","Hispanic/Latino","337","363","360","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","4525"
"Business Management","Business",22,"Female","Unknown","Hispanic/Latino","352","357","360","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Education","Education",36,"Female","No","Hispanic/Latino","65","69","256","Some College","Associate Degree",0,0,"MISD- LHS","OTHER","9999999"
"Office Systems Technology","Career and Technical",36,"Female","Yes","Black or African American","190","240","248","High School Diploma or GED","No High School",0,0,"Midland High School","FED PELL GRANT","0"
"Office Systems Technology","Career and Technical",59,"Female","Unknown","Hispanic/Latino","310","356","348","Unknown","Unknown",0,0,"Not Used....Was Unknown High School","FED PELL GRANT","491"
"Nursing-Associate Degree","Health Science",31,"Female","No","Hispanic/Latino","31","NULL","NULL","High School Diploma or GED","Associate Degree",0,0,"MISD- LHS","FED PELL GRANT","2695"
"Nursing-Vocational","Health Science",36,"Female","Unknown","Hispanic/Latino","359","367","356","Unknown","Unknown",0,0,"ANDREWS HIGH SCHOOL","FED PELL GRANT","0"
"Sociology","Social and Behavioral Science",42,"Female","Yes","Hispanic/Latino","234","73","241","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","FED PELL GRANT","0"
"Education","Education",23,"Female","No","Hispanic/Latino","354","352","354","Bachelor/Four-year Degree","No High School",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","9999999"
"Office Systems Technology","Career and Technical",34,"Female","Unknown","Hispanic/Latino","928","937","937","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","450"
"Biology","Math and Science",23,"Female","Unknown","Hispanic/Latino","351","366","368","Unknown","Unknown",0,0,"CENTRAL KITSAP HIGH SCHOOL","FED PELL GRANT","9999999"
"Energy Technology","Career and Technical",40,"Male","Unknown","Hispanic/Latino","338","367","366","Unknown","Unknown",0,0,"MCCAMEY HIGH SCHOOL","OTHER","30244"
"Business Administration","Business",28,"Female","Yes","Hispanic/Latino","21","56","82","High School Diploma or GED","High School Diploma or GED",0,1,"Midland High School","FED PELL GRANT","20824"
"Nursing-Vocational","Health Science",24,"Female","Unknown","Hispanic/Latino","350","347","347","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Chemistry","Math and Science",35,"Female","Unknown","Hispanic/Latino","253","240","293","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Psychology","Social and Behavioral Science",32,"Female","Unknown","Hispanic/Latino","48","65","70","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Office Systems Technology","Career and Technical",28,"Female","Yes","Hispanic/Latino","340","357","353","No High School","No High School",0,1,"Texas Ged","FED PELL GRANT","17120"
"Nursing-Associate Degree","Health Science",40,"Male","Unknown","Hispanic/Latino","347","361","373","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","0"
"Office Systems Technology","Career and Technical",21,"Male","Unknown","Hispanic/Latino","342","370","370","High School Diploma or GED","Some College",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","9999999"
"Automotive Technology","Career and Technical",23,"Male","Unknown","Hispanic/Latino","354","359","346","Unknown","Unknown",0,0,"MISD- LHS","OTHER","13756"
"Computer Information Technology","Career and Technical",31,"Male","Yes","Hispanic/Latino","36","240","197","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","OTHER","5545"
"Cosmetology","Career and Technical",26,"Female","Unknown","Hispanic/Latino","339","356","354","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Diesel Technology","Career and Technical",30,"Female","No","White","329","NULL","NULL","Bachelor/Four-year Degree","High School Diploma or GED",0,1,"CORONADO HIGH SCHOOL","OTHER","0"
"Business Administration","Business",22,"Male","Unknown","Hispanic/Latino","351","NULL","NULL","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Biology","Math and Science",26,"Female","No","Black or African American","343","354","347","High School Diploma or GED","Associate Degree",0,0,"MISD- LHS","FED PELL GRANT","434"
"Energy Technology","Career and Technical",22,"Male","Unknown","Hispanic/Latino","349","362","340","Unknown","No High School",0,0,"Midland High School","OTHER","9999999"
"Biology","Math and Science",24,"Male","Unknown","White","350","361","346","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Office Systems Technology","Career and Technical",23,"Male","Unknown","White","370","366","359","Some College","Some College",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","6463"
"Communications","Language and Fine Arts",27,"Female","Yes","Hispanic/Latino","351","362","360","No High School","No High School",0,1,"Texas Ged","FED PELL GRANT","0"
"Business Administration","Business",35,"Female","Unknown","Hispanic/Latino","253","240","293","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Office Systems Technology","Career and Technical",59,"Female","Unknown","Hispanic/Latino","310","356","348","Unknown","Unknown",0,0,"Not Used....Was Unknown High School","OTHER","508"
"Education","Education",29,"Female","Unknown","Hispanic/Latino","34","NULL","NULL","Some College","High School Diploma or GED",0,0,"MISD- LHS","FED PELL GRANT","0"
"Health Information Management","Health Science",26,"Female","Yes","Hispanic/Latino","339","355","352","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","FED PELL GRANT","925"
"Nursing-Vocational","Health Science",32,"Female","Unknown","Black or African American","310","347","348","Unknown","Unknown",0,1,"Texas Ged","OTHER","0"
"Nursing-Vocational","Health Science",36,"Female","Yes","Hispanic/Latino","334","361","351","Some High School","Some High School",0,0,"MISD- LHS","FED PELL GRANT","1508"
"Emergency Medical Services","Health Science",42,"Female","Unknown","Hispanic/Latino","49","82","83","High School Diploma or GED","Some College",0,0,"MIDLAND CHRISTIAN SCHOOL","FED PELL GRANT","0"
"Nursing-Vocational","Health Science",52,"Female","Yes","Hispanic/Latino","327","351","352","High School Diploma or GED","High School Diploma or GED",0,1,"Texas Ged","FED PELL GRANT","2692"
"Health Sciences Foundation","Health Science",20,"Female","No","Hispanic/Latino","932","946","946","Associate Degree","Associate Degree",0,0,"Midland High School","OTHER","6022"
"Energy Technology","Career and Technical",22,"Male","Unknown","Hispanic/Latino","341","350","351","Unknown","Unknown",0,0,"Midland High School","OTHER","17456"
"Geography","Social and Behavioral Science",21,"Male","Unknown","Hispanic/Latino","352","358","361","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","20"
"Education","Education",27,"Female","Unknown","White","357","363","79","Unknown","Unknown",0,0,"PENN FOSTER HIGH SCHOOL","FED PELL GRANT","4130"
"Respiratory Care","Health Science",29,"Male","Unknown","Hispanic/Latino","16","8","76","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Business Administration","Business",30,"Female","No","Hispanic/Latino","47","79","87","Associate Degree","Some College",0,0,"Midland High School","FED PELL GRANT","13345"
"Engineering","Math and Science",25,"Male","Unknown","Asian","333","352","341","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","5029"
"Arts","Language and Fine Arts",60,"Female","No","White","231","240","278","Some High School","Bachelor/Four-year Degree",0,0,"CENTRAL HIGH SCHOOL","OTHER","9999999"
"Health Information Management","Health Science",30,"Female","Yes","Hispanic/Latino","28","69","83","Some High School","High School Diploma or GED",0,0,"MISD- LHS","FED PELL GRANT","0"
"Engineering","Math and Science",25,"Male","No","Hispanic/Latino","352","349","350","Bachelor/Four-year Degree","Bachelor/Four-year Degree",0,0,"MISD- LHS","OTHER","9999999"
"Paralegal","Career and Technical",31,"Female","Unknown","White","349","NULL","NULL","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Biology","Math and Science",28,"Female","Unknown","Hispanic/Latino","338","NULL","NULL","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","5816"
"Nursing-Associate Degree","Health Science",37,"Female","Yes","Black or African American","202","205","177","High School Diploma or GED","Some High School",0,0,"MISD- LHS","FED PELL GRANT","0"
"Education","Education",30,"Female","No","White","329","NULL","NULL","Bachelor/Four-year Degree","High School Diploma or GED",0,1,"CORONADO HIGH SCHOOL","FED PELL GRANT","0"
"Nursing-Vocational","Health Science",41,"Female","Yes","Hispanic/Latino","336","240","231","High School Diploma or GED","High School Diploma or GED",0,0,"IRAAN HIGH SCHOOL","FED PELL GRANT","4059"
"Emergency Medical Services","Health Science",32,"Female","Unknown","Hispanic/Latino","315","341","339","Unknown","High School Diploma or GED",0,0,"RICHARD MILBURN ACADEMY","FED PELL GRANT","0"
"Business Management","Business",23,"Female","Unknown","Hispanic/Latino","350","364","355","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Health Information Management","Health Science",58,"Female","Unknown","Hispanic/Latino","934","240","255","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","FED PELL GRANT","13848"
"Business Administration","Business",36,"Female","Unknown","Hispanic/Latino","937","948","948","Unknown","Unknown",0,0,"COOPER HIGH SCHOOL","OTHER","381"
"Biology","Math and Science",24,"Male","Unknown","Hispanic/Latino","354","NULL","NULL","Some High School","Some College",0,0,"MISD- LHS","OTHER","9893"
"Criminal Justice","Career and Technical",39,"Female","No","Black or African American","253","240","254","High School Diploma or GED","Associate Degree",0,0,"Midland High School","FED PELL GRANT","9999999"
"Psychology","Social and Behavioral Science",33,"Female","Yes","White","914","937","937","High School Diploma or GED","High School Diploma or GED",0,1,"Texas Ged","FED PELL GRANT","819"
"Nursing-Vocational","Health Science",38,"Female","Yes","Hispanic/Latino","343","387","359","High School Diploma or GED","High School Diploma or GED",0,1,"Texas Ged","FED PELL GRANT","736"
"Business Management","Business",36,"Male","Yes","Hispanic/Latino","932","NULL","70","Some High School","Some High School",0,0,"LAMESA HIGH SCHOOL","OTHER","3602"
"Fire Science Technology","Health Science",38,"Male","Unknown","White","30","70","90","Some College","High School Diploma or GED",0,0,"GREENWOOD HIGH SCHOOL","FED PELL GRANT","9999999"
"Nursing-Vocational","Health Science",32,"Female","Unknown","Black or African American","310","347","348","Unknown","Unknown",0,1,"Texas Ged","FED PELL GRANT","0"
"Nursing-Associate Degree","Health Science",32,"Female","No","Black or African American","342","365","354","Some High School","Graduate/Professional Degree",0,0,"Unknown International High School","FED PELL GRANT","168"
"Business Administration","Business",28,"Female","Unknown","White","358","376","376","Some College","High School Diploma or GED",0,0,"Midland High School","OTHER","7190"
"Business Management","Business",34,"Female","Unknown","Hispanic/Latino","233","240","189","Unknown","Unknown",0,0,"BIG BEND HIGH SCHOOL","FED PELL GRANT","4481"
"Energy Technology","Career and Technical",23,"Male","Unknown","Hispanic/Latino","340","367","354","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","116"
"Business Management","Business",37,"Female","Unknown","Hispanic/Latino","38","87","87","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Biology","Math and Science",21,"Female","Unknown","Hispanic/Latino","312","351","334","Unknown","Some College",0,0,"BUENA VISTA HIGH SCHOOL","OTHER","9999999"
"Education","Education",25,"Female","No","Hispanic/Latino","936","344","346","Graduate/Professional Degree","No High School",0,0,"Midland High School","OTHER","8929"
"Education","Education",26,"Female","Yes","White","314","NULL","NULL","Some High School","Some High School",0,0,"MISD- LHS","FED PELL GRANT","0"
"Office Systems Technology","Career and Technical",49,"Female","Unknown","Hispanic/Latino","250","240","231","Unknown","Unknown",0,0,"PRESIDIO HIGH SCHOOL","OTHER","31391"
"Kinesiology","Math and Science",22,"Male","Unknown","Hispanic/Latino","353","367","359","Unknown","Unknown",0,0,"MISD- LHS","OTHER","27100"
"Nursing-Vocational","Health Science",41,"Female","Unknown","White","352","NULL","NULL","Unknown","Some College",0,0,"BIG SPRING HIGH SCHOOL","OTHER","0"
"Energy Technology","Career and Technical",22,"Female","Unknown","Hispanic/Latino","348","360","349","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","0"
"Business Management","Business",24,"Female","Yes","Asian","360","347","347","No High School","No High School",0,0,"MISD- LHS","OTHER","1129"
"Music","Language and Fine Arts",27,"Female","Unknown","White","363","NULL","NULL","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Energy Technology","Career and Technical",20,"Male","Unknown","White","953","957","957","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
